24
oc,op,pf,op,op,pp,pc,tc,tf,op,op,op,op,op,oa,dm
pf,oc,pp,pp,op,oc,tp,ta,op,op,op,op,oa,op,op,om
op,oc,pc,oc,op,oc,tf,ta,tp,op,oa,op,op,oa,op,dc
pp,pp,pe,pa,op,oa,op,tf,ta,tm,op,oc,op,oc,tp,de
pp,sm,sa,sc,tf,op,tf,ta,tc,tp,tf,tc,tf,tc,de,tf
op,sp,sp,oc,tc,ta,tp,tc,tc,tf,tc,tp,tf,tm,tc,dp
op,sc,sc,sa,tc,ta,ta,ta,tf,ta,tc,tf,ta,dp,dp,dp
pp,op,pp,pf,tm,tp,tf,tf,ta,tc,tp,tc,ta,op,op,op
pc,pc,oc,op,op,op,op,tp,tc,tf,tm,tc,tc,op,op,op
op,pp,oc,op,op,oa,oa,op,tc,tp,tf,dp,dm,df,op,op
op,op,oa,op,op,op,op,op,tm,tm,tc,dm,dp,dp,op,op
op,op,oa,op,op,op,op,op,op,df,dp,de,dp,de,op,op
op,oc,oc,oc,op,op,oc,oc,op,oc,op,op,op,dc,dc,de
pp,pe,pp,pf,pp,op,pf,pf,oc,op,op,op,oc,dp,dm,de
op,oc,pa,pf,op,oc,pp,oc,dc,dp,oc,op,oc,dm,dp,dp
op,op,pf,op,op,oc,pf,pp,pe,dc,dp,op,op,dp,dp,df
